venditore_piva,nome_offerta,cod_offerta,tipo_prezzo,indice_prezzo,prezzo_energia,unita_energia,quota_fissa_annua,unita_quota,consumo_min,consumo_max,durata_mesi
05282870657,4G DIRETTO LUCE CONSUMER CASA INDEX RELAX X2,023827ESVFL01XX26UF0COTD0REL00X2,variabile,12,0.025300,€/kWh,132.000000,€/anno,,,12
04245030285,SMART 3 EE - DOMESTICO,000657ESVFL01XX00000ST3EDX122602,variabile,01,0.02,€/kWh,110.0,€/anno,,,12
12883420155,A2A Click Luce,000294ESFFL01XXA2AClick260632167,fisso,,,,102.0,€/anno,,,12
12883420155,A2A Bonus 10 Luce,000294ESVML01XXBON10ELE260605001,variabile,12,0.025,€/kWh,114.0,€/anno,,,12
12883420155,A2A Click Luce,000294ESFML01XXA2AClick260632167,fisso,,,,102.0,€/anno,,,12
12883420155,A2A Click Luce,000294ESFFL01XXA2AClick260632418,fisso,,,,102.0,€/anno,,,12
12883420155,A2A Start Luce,000294ESFML01XXA2AStart260632177,fisso,,,,114.0,€/anno,,,24
12883420155,Esclusiva2a Luce,000294ESFFL01XXEsclDomE260632166,fisso,,,,114.0,€/anno,,,12
12883420155,A2A Ready 12 Luce,000294ESFML01XXA2AReady260632183,fisso,,,,102.0,€/anno,,,12
12883420155,A2A Full Luce,000294ESFFL01XXA2AFullD260632175,fisso,,,,135.0,€/anno,,,24
12883420155,Smart Casa Luce,000294ESVML01XXSmartCas260632191,variabile,12,0.025,€/kWh,114.0,€/anno,,,12
12883420155,A2A Ready 12 Luce,000294ESFFL01XXA2AReady260632183,fisso,,,,102.0,€/anno,,,12
12883420155,Smart Casa Luce,000294ESVML01XXSmartCas260632205,variabile,12,0.025,€/kWh,114.0,€/anno,,,12
12883420155,A2A Click Luce,000294ESFML01XXA2AClick260632418,fisso,,,,102.0,€/anno,,,12
12883420155,A2A Full Luce,000294ESFML01XXA2AFullD260632175,fisso,,,,135.0,€/anno,,,24
12883420155,A2A Click Luce,000294ESFML01XXA2AClick260632415,fisso,,,,102.0,€/anno,,,12
12883420155,Esclusiva2a Luce,000294ESFML01XXEsclDomE260632166,fisso,,,,114.0,€/anno,,,12
12883420155,A2A Easy Luce,000294ESVFL01XXA2AEasyL260632201,variabile,12,0.0,€/kWh,150.0,€/anno,,,12
12883420155,Smart Casa Luce,000294ESVFL01XXSmartCas260632191,variabile,12,0.025,€/kWh,114.0,€/anno,,,12
12883420155,A2A Click Luce,000294ESFFL01XXA2AClick260632415,fisso,,,,102.0,€/anno,,,12
12883420155,A2A Start Luce,000294ESFFL01XXA2AStart260632177,fisso,,,,114.0,€/anno,,,24
12883420155,Smart Casa Luce,000294ESVFL01XXSmartCas260632205,variabile,12,0.025,€/kWh,114.0,€/anno,,,12
12883420155,Smart Casa+ Luce,000294ESVFL01XXSmartCas260632193,variabile,12,0.025,€/kWh,135.0,€/anno,,,12
12883420155,Smart Casa+ Luce,000294ESVML01XXSmartCas260632207,variabile,12,0.025,€/kWh,135.0,€/anno,,,12
12883420155,A2A Easy Luce,000294ESVML01XXA2AEasyL260632201,variabile,12,0.0,€/kWh,150.0,€/anno,,,12
12883420155,A2A Bonus 10 Luce,000294ESVFL01XXBON10ELE260605002,variabile,12,0.025,€/kWh,114.0,€/anno,,,12
12883420155,Smart Casa+ Luce,000294ESVFL01XXSmartCas260632207,variabile,12,0.025,€/kWh,135.0,€/anno,,,12
12883420155,Smart Casa+ Luce,000294ESVML01XXSmartCas260632193,variabile,12,0.025,€/kWh,135.0,€/anno,,,12
01482080452,ABY CASA LUCE 202606,042641ESVOL01XXTD000006ACL202606,variabile,12,0,€/kWh,96,€/anno,,,12
01482080452,ABY CASA RELAX LUCE MONO 202606,042641ESFML01XXTD000006ALM202606,fisso,,0.128,€/kWh,120,€/anno,,,12
01482080452,ABY CASA RELAX LUCE BIO 202606,042641ESFFL01XXTD000006ALB202606,fisso,,0.131/0.118,€/kWh,120,€/anno,,,12
08547890015,LUCE OVER 75 26_01,000694ESVFL01XXACEALUCEOVER75NEW,variabile,12,0.0145,€/kWh,90.0,€/anno,,,15
08547890015,LUCE SECONDE CASE,000694ESVFL01XXACEALUCESCASE2601,variabile,12,0.0145,€/kWh,90.0,€/anno,,,15
08547890015,LUCE CASA INTELLIGENTE,000694ESVFL01XXACEALUCECASAINTEL,variabile,12,0.0145,€/kWh,144.0,€/anno,,,15
08547890015,LUCE COMMUNITY,000694ESVFL01XXACEALUCECOMMUNDOM,variabile,12,0.0145,€/kWh,90.0,€/anno,,,15
02997570649,T-AE EE DOMESTICO-23,029644ESVML01XXAEDOMESEE01102023,variabile,12,0.04,€/kWh,120,€/anno,,,12
02997570649,T-AE EE DOMESTICO,029644ESVML01XXAEDOMESEE01102022,variabile,12,0.03,€/kWh,108,€/anno,,,12
02727450120,miaDinamica - multi,000446ESVFL17XXXXXXXEEMIADIN3FAG,variabile,12,0.033000,€/kWh,127.000000,€/anno,,,24
02727450120,Mia Certezza 24 Agesp,000446ESFML15XXXXXEECERTEZZA24AG,fisso,,,,144.000000,€/anno,,,24
02727450120,miaDinamica Green- multi,000446ESVFL56XXXXXXEEMIADIN3FGAG,variabile,12,0.033000,€/kWh,127.000000,€/anno,,,24
02727450120,miaLeggera Luce,000446ESVML15XXXXEEMIALEGGERADAG,variabile,12,0.073150,€/kWh,67.000000,€/anno,,,24
02727450120,miaDinamica - mono,000446ESVML17XXXXXXXEEMIADINF0AG,variabile,12,0.033000,€/kWh,127.000000,€/anno,,,24
02727450120,miaSerena - Mono,000446ESVML17XXXXXXXEEMIAINGRMAG,variabile,12,0.011000,€/kWh,147.000000,€/anno,,,12
02727450120,miaProtetta,000446ESVML56XXXXXXEEMIAPROTETAG,variabile,12,0.028600,€/kWh,122.000000,€/anno,,,12
02727450120,miaCasa+ dinamica,000446ESVML56XXXXXXXEEMIACASAPAG,variabile,12,0.011000,€/kWh,172.000000,€/anno,,,24
02727450120,miaDinamica Green- mono,000446ESVML56XXXXXXEEMIADINF0GAG,variabile,12,0.033000,€/kWh,127.000000,€/anno,,,24
08150620725,AGF EE HOME FIDELITY,027580ESVFL01XXAGFAEEHOMEFIDELIT,variabile,12,0.022,€/kWh,108,€/anno,,,20
06170180019,AGN SEMPLICE LUCE SILVER,001488ESVFL01XXAGNEDPUNSLVZER024,variabile,12,0.022000,€/kWh,180.000000,€/anno,,,99
06170180019,AGNEDPUNGLV224SC5,001488ESVFL01XXAGNEDPUNGLV224SC5,variabile,12,0.045000,€/kWh,240.000000,€/anno,,,99
06170180019,AGNEDPUNSLV224SC5,001488ESVFL01XXAGNEDPUNSLV224SC5,variabile,12,0.045000,€/kWh,180.000000,€/anno,,,99
06170180019,AGN FIX 24,001488ESFML01XXAGNEDOMFIXQT01STD,fisso,,0.159000,€/kWh,120.000000,€/anno,,,24
06170180019,AGN FIX 24 GOLD,001488ESFML01XXAGNEDOMFIXQT01GLD,fisso,,0.159000,€/kWh,240.000000,€/anno,,,24
06170180019,AGN SEMPLICE LUCE,001488ESVFL01XXAGNEDPUNZER002024,variabile,12,0.022000,€/kWh,120.000000,€/anno,,,99
06170180019,AGN FIX 24 SILVER,001488ESFML01XXAGNEDOMFIXQT01SLV,fisso,,0.159000,€/kWh,180.000000,€/anno,,,24
06170180019,AGN SEMPLICE LUCE GOLD,001488ESVFL01XXAGNEDPUNGLDZER024,variabile,12,0.022000,€/kWh,240.000000,€/anno,,,99
11815230963,OFFERTA LUCE MERCATO LIBERO FAMILY PO 12025 IPEX,036983ESVFL01XXAURGR000000000228,variabile,01,0.03,€/kWh,144,€/anno,,,5
03839870924,AJO FISSO 12,030205ESVFL06XX000AJOFIXX12X0626,fisso,,0.142,€/kWh,144,€/anno,,,12
03839870924,AJO LEGGERISSIMA ULTRA,030205ESVFL05XXXLEGGERXULTRA0526,variabile,12,0.050,€/kWh,72,€/anno,,,12
03839870924,AJO EASY FLEX,030205ESVFL05XXEASYXFLEXDOMX0526,variabile,12,0.080,€/kWh,288,€/anno,,,12
03839870924,AJO TOP FLEX,030205ESVFL05XXXAJOTOPFLEXXX0526,variabile,12,0.024,€/kWh,174,€/anno,,,12
03839870924,AJO FREEDOM,030205ESVFL05XX000AJOFREEDOM0526,variabile,12,0.024,€/kWh,144,€/anno,,,12
06278561219,ADOMO10NR,002170ESVFL01XXPUN10DOMNRV221020,variabile,12,0.003306,€/kWh,221.400000,€/anno,,,indeterminata
03386091205,Accendi ECOLOGICA Luce 24 Mesi,023912ESFML01XXY2606ECOLOGK24MOM,fisso,,0.1639,€/kWh,144,€/anno,,,24
03386091205,Accendi ECOLOGICA Pro Luce e Gas 24 Mesi,023912DSFFL01XXY2606ECOLPRO24BID,fisso,,0.1551/0.1507,€/kWh,108,€/anno,,,24
03386091205,Accendi Casa AGILE ECOLOGICA Luce 12 mesi,023912ESVFL01XXY2606AGILEECOLELM,variabile,12,,,138,€/anno,,,12
03386091205,Accendi ECOLOGICA Pro Luce 24 Mesi,023912ESFML01XXY2606ECOLPRO24MOM,fisso,,0.1518,€/kWh,108,€/anno,,,24
03386091205,Accendi Fiducia COOP Fix 24 Mesi,023912DSFFL01XXY2606FIDUFIX24BID,fisso,,0.1551/0.1507,€/kWh,144,€/anno,,,24
03386091205,Accendi ECOLOGICA Luce 24 Mesi,023912ESFFL01XXY2606ECOLOGK24BIM,fisso,,0.1661/0.1606,€/kWh,144,€/anno,,,24
03386091205,Accendi ECOLOGICA Pro Luce e Gas 24 Mesi,023912DSFML01XXY2606ECOLPRO24MOD,fisso,,0.1518,€/kWh,108,€/anno,,,24
03386091205,Accendi ECOLOGICA Pro Luce 24 Mesi,023912ESFFL01XXY2606ECOLPRO24BIM,fisso,,0.1551/0.1507,€/kWh,108,€/anno,,,24
03386091205,Accendi ECOLOGICA Luce e Gas 24 Mesi,023912DSFML01XXY2606ECOLOGK24MOD,fisso,,0.1639,€/kWh,144,€/anno,,,24
03386091205,Accendi Fiducia COOP Fix 24 Mesi,023912DSFML01XXY2606FIDUFIX24MOD,fisso,,0.1518,€/kWh,144,€/anno,,,24
03386091205,Accendi Fiducia COOP Fix 24 Mesi,023912ESFML01XXY2606FIDUFIX24MOM,fisso,,0.1518,€/kWh,144,€/anno,,,24
03386091205,Accendi Casa AGILE ECOLOGICA Luce e Gas 12 mesi,023912DSVFL01XXY2606AGILEECOLELD,variabile,12,,,138,€/anno,,,12
03386091205,Accendi Fiducia COOP Flex 24 Mesi,023912DSVFL01XXY2606FIDUVAR24ELD,variabile,12,,,138,€/anno,,,24
03386091205,Accendi Fiducia COOP Fix 24 Mesi,023912ESFFL01XXY2606FIDUFIX24BIM,fisso,,0.1551/0.1507,€/kWh,144,€/anno,,,24
03386091205,Accendi ECOLOGICA Luce e Gas 24 Mesi,023912DSFFL01XXY2606ECOLOGK24BID,fisso,,0.1661/0.1606,€/kWh,144,€/anno,,,24
03386091205,Accendi Fiducia COOP Flex 24 mesi,023912ESVFL01XXY2606FIDUVAR24ELM,variabile,12,,,138,€/anno,,,24
01745520211,Alperia TerzoTempo,000368ESVOL01XX3235017X260401XVE,variabile,12,0.011000,€/kWh,121.200000,€/anno,,,24
01745520211,Alperia Direct Alto Adige,000368ESFML01XX3835448X260511XVE,fisso,,,,86.20000,€/anno,,,60
01745520211,Alperia Home Standard,000368ESVOL01XX3295026X260401XVE,variabile,12,0.014850,€/kWh,109.200000,€/anno,,,indeterminata
01745520211,Alperia Free Welcome,000368ESVOL01XX3105054X260401XVE,variabile,12,0.011000,€/kWh,0.000000,€/anno,,,12
01745520211,Alperia Home Clear,000368ESVOL01XX3275021X260401XVE,variabile,12,0.000000,€/kWh,181.200000,€/anno,,,indeterminata
01745520211,Alperia Home Pro,000368ESVOL01XX3265011X260401XVE,variabile,12,0.026400,€/kWh,121.200000,€/anno,,,indeterminata
01745520211,Alperia Home Plus,000368ESVOL01XX3055049X260401XVE,variabile,12,0.029700,€/kWh,157.200000,€/anno,,,indeterminata
01745520211,Alperia Home Pure,000368ESVOL01XX3305028X260401XVE,variabile,12,0.000000,€/kWh,145.200000,€/anno,,,indeterminata
01745520211,Alperia Home Digital,000368ESVOL01XX3255033X260401XVE,variabile,12,0.011000,€/kWh,109.200000,€/anno,,,indeterminata
01745520211,Alperia Home Start,000368ESVOL01XX3285023X260401XVE,variabile,12,0.029700,€/kWh,73.200000,€/anno,,,indeterminata
01745520211,Alperia Smile Easy Summer,000368ESFML01XX4085488X260611XVE,fisso,,,,95.400000,€/anno,,,36
01745520211,Alperia Smile Clear,000368ESFML01XX3395080X260611XVE,fisso,,,,145.200000,€/anno,,,24
01745520211,Alperia Smile Safety,000368ESFML02XX3385081X260611XVE,fisso,,,,97.200000,€/anno,,,24
01745520211,Alperia Free,000368ESVOL01XX3095053X260401XVE,variabile,12,0.011000,€/kWh,66.2000,€/anno,,,indeterminata
02575910415,No_Stress_Family_DO_Mono_Lumen,025280ESFML01XXXXXXXXXXELS26AXDO,fisso,,0.136900,€/kWh,274.800000,€/anno,,,indeterminata
02575910415,Fisso_No_Stress_Family_DO,025280ESFML01XXXXX26XNSFAMILYXDO,fisso,,0.136900,€/kWh,262.800000,€/anno,,,indeterminata
05044850823,CON AMG LUCE SICURA,001534ESVML01XXEExPUNxCASA08xM3x,variabile,12,,,96,€/anno,,,12
05044850823,CON AMG LUCE SICURA,001534ESVFL01XXEExPUNxCASA08xF2x,variabile,12,,,96,€/anno,,,12
05044850823,CON AMG LUCE CASA Sconto_20,001534ESVFL01XXEExPUNxCSSC20xF1x,variabile,12,,,76.80,€/anno,,,12
05044850823,CON AMG LUCE CASA Sconto_20,001534ESVML01XXEExPUNxCSSC20xM1x,variabile,12,,,76.80,€/anno,,,12
06024230721,Lux “casa”,000867ESVFL01XXTDOMLUXCASA042026,variabile,12,0.006600,€/kWh,121.23,€/anno,0,0,indeterminata
06024230721,"Lux ""Vulnerabili""",000867ESVFL01XXTDOMLUXVULN042026,variabile,12,0.006600,€/kWh,61.23,€/anno,0,0,indeterminata
03288990710,Bee Free,000432ESVML03XXAPEBEEFREE2026S20,variabile,12,0.02,€/kWh,108,€/anno,,,12
03288990710,Bee Ready,000432ESVML01XXAPEBEEREADYX26S20,variabile,12,0.02,€/kWh,108,€/anno,,,12
13433711002,COSTI MINORI CASA LUCE,024492ESVFL01XXMINORIXDOMESTICOX,variabile,12,0.020900,€/kWh,168.000000,€/anno,,,12
13433711002,ALTI LUCE EXTRA CASA,024492ESVFL02XX000000ALTIENERGIA,variabile,12,0.011000,€/kWh,120.000000,€/anno,,,12
13433711002,RISPARMIO ASSOLUTO CASA LUCE,024492ESVFL01XXMINORIDOMESTICOTO,variabile,12,0.016500,€/kWh,144.000000,€/anno,,,12
13433711002,ALTI LUCE LIGHT CASA,024492ESVFL01XX000000ALTIENERGIA,variabile,12,0.022000,€/kWh,102.000000,€/anno,,,12
13433711002,MIGLIORE LUCE CASA,024492ESVFL02XXMIGLIOREENERMDC11,variabile,12,0.032999,€/kWh,144.000000,€/anno,,,12
13433711002,MIGLIORE LUCE CASA,024492ESVFL01XXMIGLIOREENERMDC11,variabile,12,0.032999,€/kWh,144.000000,€/anno,,,12
13433711002,PIU' BASSA LUCE CASA,024492ESVFL03XX2024ENERMIENERMIA,variabile,12,0.043999,€/kWh,120.000000,€/anno,,,12
13433711002,PIU' BASSA LUCE CASA,024492ESVFL21XX2024ENERMIENERMIA,variabile,12,0.043999,€/kWh,120.000000,€/anno,,,12
13433711002,HAPPEN CASA 815,024492ESVFL07XX00000ELITEENERGY1,variabile,12,0.016500,€/kWh,96.000000,€/anno,,,12
13433711002,ENJOY CASA 10PLUS10,024492ESVFL06XX00000ELITEENERGY1,variabile,12,0.011000,€/kWh,120.000000,€/anno,,,12
13433711002,HAPPEN CASA 12PLUS15,024492ESVFL12XX00000ELITEENERGY1,variabile,12,0.016500,€/kWh,144.000000,€/anno,,,12
13433711002,POSITIVE CASA 1020,024492ESVFL14XX00000ELITEENERGY1,variabile,12,0.022000,€/kWh,120.000000,€/anno,,,12
13433711002,SYNERGYA ALTIENERGIA LUCE CASA,024492ESVFL08XX000000ALTIENERGIA,variabile,12,0.000000,€/kWh,108.000000,€/anno,,,12
13433711002,PERFETTA LUCE CASA,024492ESVFL00XXESVFL01XXES00L01X,variabile,12,0.027500,€/kWh,192.000000,€/anno,,,12
13433711002,CONVENZIONE LUCE MINISTERO,024492ESVFL07XX000000ALTIENERGIA,variabile,12,0.000000,€/kWh,102.000000,€/anno,,,12
13433711002,ENJOY0810,024492ESVML01XX000000000ENJOY810,variabile,12,0.011000,€/kWh,96.000000,€/anno,,,12
13433711002,ENJOY08PLUS10,024492ESVML02XX00000PLUSENJOY810,variabile,12,0.011000,€/kWh,96.000000,€/anno,,,12
13433711002,ENJOY10PLUS10,024492ESVML03XX00000PLUSENJO1010,variabile,12,0.011000,€/kWh,120.000000,€/anno,,,12
13433711002,ALTI LUCE EXTRA CASA 2025,024492ESVFL04XX000000ALTIENERGIA,variabile,12,0.014300,€/kWh,120.000000,€/anno,,,12
13433711002,ALTI LUCE NO PROBLEM MUNICIPALIZZATE ROMA,024492ESVFL05XX000000ALTIENERGIA,variabile,12,0.013200,€/kWh,90.000000,€/anno,,,12
13433711002,SYNERGYA ALMAENERGIA LUCE CASA ZERO SPREAD,024492ESVFL01XXALMAENERGIALUCEZE,variabile,12,0.000000,€/kWh,102.000000,€/anno,,,indeterminata
13433711002,SYNERGYA ALTIENERGIA LUCE CASA ZERO SPREAD,024492ESVFL10XX000000ALTIENERGIA,variabile,12,0.000000,€/kWh,102.000000,€/anno,,,indeterminata
13433711002,ENERGIA EQUILIBRATA CASA LUCE,024492ESVFL01XXMINORIDOMESTICOST,variabile,12,0.025300,€/kWh,204.000000,€/anno,,,12
13433711002,ALTI LUCE LIGHT CASA 2025,024492ESVFL03XX000000ALTIENERGIA,variabile,12,0.018700/0.187000,€/kWh,102.000000,€/anno,,,12
13433711002,HAPPEN CASA 1015,024492ESVFL08XX00000ELITEENERGY1,variabile,12,0.016500,€/kWh,120.000000,€/anno,,,12
13433711002,HAPPEN CASA 8PLUS15,024492ESVFL10XX00000ELITEENERGY1,variabile,12,0.016500,€/kWh,96.000000,€/anno,,,12
13433711002,POSITIVE CASA 10PLUS20,024492ESVFL17XX00000ELITEENERGY1,variabile,12,0.022000,€/kWh,120.000000,€/anno,,,12
13433711002,HAPPEN CASA 1215,024492ESVFL09XX00000ELITEENERGY1,variabile,12,0.016500,€/kWh,144.000000,€/anno,,,12
13433711002,HAPPEN CASA 10PLUS15,024492ESVFL11XX00000ELITEENERGY1,variabile,12,0.016500,€/kWh,120.000000,€/anno,,,12
13433711002,POSITIVE CASA 1220,024492ESVFL15XX00000ELITEENERGY1,variabile,12,0.022000,€/kWh,144.000000,€/anno,,,12
13433711002,ENJOY CASA 1210,024492ESVFL03XX000000000ENJO1010,variabile,12,0.011000,€/kWh,144.000000,€/anno,,,12
13433711002,ALTI LUCE LIGHT CASA 2025,024492ESVFL06XX000000ALTIENERGIA,variabile,12,0.018700,€/kWh,102.000000,€/anno,,,12
13433711002,ENJOY1010,024492ESVML02XX000000000ENJO1010,variabile,12,0.011000,€/kWh,120.000000,€/anno,,,12
13433711002,ENJOY0810,024492ESVFL01XX000000000ENJOY810,variabile,12,0.011000,€/kWh,96.000000,€/anno,,,12
13433711002,ENJOY12PLUS10,024492ESVFL04XX00000PLUSENJO1210,variabile,12,0.011000,€/kWh,144.000000,€/anno,,,12
13433711002,ENJOY1210,024492ESVML03XX000000000ENJO1010,variabile,12,0.011000,€/kWh,144.000000,€/anno,,,12
13433711002,POSITIVE CASA 12PLUS20,024492ESVFL18XX00000ELITEENERGY1,variabile,12,0.022000,€/kWh,144.000000,€/anno,,,12
13433711002,POSITIVE CASA 820,024492ESVFL13XX00000ELITEENERGY1,variabile,12,0.022000,€/kWh,96.000000,€/anno,,,12
13433711002,ENJOY CASA 8PLUS10,024492ESVFL05XX00000PLUSENJO1210,variabile,12,0.011000,€/kWh,96.000000,€/anno,,,12
13433711002,ENJOY CASA 1010,024492ESVFL02XX000000000ENJO1010,variabile,12,0.011000,€/kWh,120.000000,€/anno,,,12
13433711002,POSITIVE CASA 8PLUS20,024492ESVFL16XX00000ELITEENERGY1,variabile,12,0.022000,€/kWh,96.000000,€/anno,,,12
09515990969,LUCE DINAMICA VACANZE 3 FASCE,025767ESVFL01XXXXXEEDOMVVAC0626T,variabile,12,0.0638,€/kWh,15,€/anno,,,indeterminata
09515990969,FIX STORE LUCE SCONTO 15%,025767ESFFL01XXXXXXXXEEDOMF0626T,fisso,,0.1749/0.1859/0.1573,€/kWh,144,€/anno,,,12
09515990969,LUCE FLEX WEB,025767ESVFL01XXXXXEEDOMVWEB0626T,variabile,12,0.033,€/kWh,144,€/anno,,,indeterminata
09515990969,LUCE FISSA WEB,025767ESVFL01XXXXXEEDOMFWEB0626T,fisso,,0.1496/0.1595/0.1353,€/kWh,144,€/anno,,,12
09515990969,LUCE FLEX 40,025767ESVFL01XXXXEEDOMVFLEX0626T,variabile,12,0.0198,€/kWh,159,€/anno,,,indeterminata
09515990969,LUCE FLEX SEGUGIO,025767ESVFL01XXXXXEEDOMVSEG0626T,variabile,12,0.0066,€/kWh,108,€/anno,,,indeterminata
09515990969,LUCE FLEX FACILE,025767ESVFL01XXXXXEEDOMVFAC0626T,variabile,12,0.0088,€/kWh,96,€/anno,,,indeterminata
09515990969,LUCE FIX TRIORARIA B.A. STANDARD,025767ESFML01XXXXEEDOMFAMIS0626T,fisso,,0.1496/0.1595/0.1342,€/kWh,120,€/anno,,,12
09515990969,LUCE FIX MONO FACILE,025767ESFML01XXXXXEEDOMFFAC0626M,fisso,,0.143,€/kWh,108,€/anno,,,12
09515990969,LUCE FLEX B.A. STANDARD,025767ESVFL01XXXXEEDOMVAMIS0626T,variabile,12,0.0165,€/kWh,120,€/anno,,,indeterminata
09515990969,LUCE FIX MONO SEGUGIO,025767ESFML01XXXXXEEDOMFSEG0626M,fisso,,0.143,€/kWh,108,€/anno,,,12
09515990969,FLEX STORE LUCE SCONTO 50%,025767ESVFL01XXXXXXXXEEDOMV0626T,variabile,12,0.022,€/kWh,144,€/anno,,,indeterminata
04451910246,ARIA CLASSIC CASA REV,041342ESVML01XX0526EEARIACLASCAS,variabile,12,0.02,€/kWh,120,€/anno,,,12
04451910246,ENERGIA ESSENZIALE CASA,041342ESVML01XX0426EEARIAESSC144,variabile,12,0.035,€/kWh,144,€/anno,,,12
04451910246,ENERGIA ESSENZIALE CASA REV,041342ESVML01XX0526EEARIAESSCASA,variabile,12,0.02,€/kWh,180,€/anno,,,12
04451910246,ENERGIA ESSENZIALE CASA PLUS,041342ESVML01XX0426EEARIAESSC180,variabile,12,0.035,€/kWh,180,€/anno,,,12
04451910246,FAMILY AND FRIENDS LUCE,041342ESVML01XX0426EEARIAFAFRI72,variabile,12,0.01,€/kWh,72,€/anno,,,12
04451910246,ENERGIA VITTORIA PUD,041342ESVML01XX0426EEARIAVITTPUD,variabile,12,0.008,€/kWh,72,€/anno,,,12
04451910246,ARIA WEB CASA LUCE,041342ESVML01XX0426ARIAWEBCALUCE,variabile,12,0.02,€/kWh,120,€/anno,,,12
01211050297,PiuControllo Active Casa Luce Medium 24,000502ESVML01XXPNPCCLM1106260100,variabile,12,0.008030,€/kWh,193.230000,€/anno,,,12
01211050297,PiuControllo Special Web Active Casa Luce 24,000502ESVML01XXPNSWCLM1106260100,variabile,12,0.004950,€/kWh,144.000000,€/anno,,,12
01211050297,PiuControllo FLAT Casa Luce 24,000502ESFML01XXPCFCL250526010000,fisso,,,,145.230000,€/anno,,,12
01211050297,PiuControllo Special Web Active Casa Luce SL,000502ESVFL01XXPNSWCLM1106260200,variabile,12,0.004950,€/kWh,144.000000,€/anno,,,12
01211050297,PiuControllo Active Casa Luce Small 24,000502ESVML01XXPNPCCLS1106260100,variabile,12,0.008030,€/kWh,169.230000,€/anno,,,12
01211050297,PiuControllo Active Casa Luce Small SL,000502ESVFL01XXPNPCCLS1106260200,variabile,12,0.008030,€/kWh,169.230000,€/anno,,,12
01211050297,PiuControllo FLAT Casa Luce SL,000502ESFFL01XXPCFCL250526020000,fisso,,,,145.230000,€/anno,,,12
01211050297,PiuControllo Active Casa Luce Medium SL,000502ESVFL01XXPNPCCLM1106260200,variabile,12,0.008030,€/kWh,193.230000,€/anno,,,12
01991100189,EASY LUCE CASA,000463ESVML01XXEASYLUCECASA2026D,variabile,12,0.0165,€/kWh,120,€/anno,,,24
01991100189,POWER SPECIAL WEB,000463ESVFL01XXPOWERSPECIALWEB26,variabile,12,0.0088,€/kWh,60,€/anno,,,24
01991100189,POWER SPECIAL WEB,000463ESVML01XXPOWERSPECIALWEB26,variabile,12,0.0088,€/kWh,60,€/anno,,,24
01991100189,GOLD CLUB POWER,000463ESVFL01XXGOLDCLUBPOWER26DO,variabile,12,0.011,€/kWh,80,€/anno,,,24
01991100189,GOLD CLUB POWER,000463ESVML01XXGOLDCLUBPOWER26DO,variabile,12,0.011,€/kWh,80,€/anno,,,24
01991100189,EASY LUCE CASA,000463ESVFL02XXEASYLUCECASA2026D,variabile,12,0.0165,€/kWh,120,€/anno,,,24
01275310199,CHIARA LUCE VARIABILE,000901ESVFL01XXPFID051X2606PUMXX,variabile,12,0.0143,€/kWh,156,€/anno,,,indeterminata
